"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2013","32,113.97","32,113.97","32,113.97","32,113.97","","-0.20%"
"11/01/2013","32,178.73","32,178.73","32,178.73","32,178.73","","-1.63%"
"10/01/2013","32,712.53","32,712.53","32,712.53","32,712.53","","11.09%"
"09/01/2013","29,445.57","29,445.57","29,445.57","29,445.57","","5.02%"
"08/01/2013","28,038.79","28,038.79","28,038.79","28,038.79","","1.21%"
"07/01/2013","27,702.86","27,702.86","27,702.86","27,702.86","","8.16%"
"06/01/2013","25,613.56","25,613.56","25,613.56","25,613.56","","-10.83%"
"05/01/2013","28,725.42","28,725.42","28,725.42","28,725.42","","4.30%"
"04/01/2013","27,540.87","27,540.87","27,540.87","27,540.87","","9.61%"
"03/01/2013","25,125.93","25,125.93","25,125.93","25,125.93","","-3.66%"
"02/01/2013","26,080.16","26,080.16","26,080.16","26,080.16","","-8.68%"
"01/01/2013","28,559.15","28,559.15","28,559.15","28,559.15","","7.16%"
"12/01/2012","26,650.17","26,650.17","26,650.17","26,650.17","","2.94%"
"11/01/2012","25,888.43","25,888.43","25,888.43","25,888.43","","1.93%"
"10/01/2012","25,397.99","25,397.99","25,397.99","25,397.99","","3.04%"
"09/01/2012","24,649.56","24,649.56","24,649.56","24,649.56","","0.42%"
"08/01/2012","24,546.08","24,546.08","24,546.08","24,546.08","","8.74%"
"07/01/2012","22,573.10","22,573.10","22,573.10","22,573.10","","-2.69%"
"06/01/2012","23,196.10","23,196.10","23,196.10","23,196.10","","12.25%"
"05/01/2012","20,664.24","20,664.24","20,664.24","20,664.24","","-10.17%"
"04/01/2012","23,004.55","23,004.55","23,004.55","23,004.55","","-8.58%"
"03/01/2012","25,164.35","25,164.35","25,164.35","25,164.35","","-2.27%"
"02/01/2012","25,749.12","25,749.12","25,749.12","25,749.12","","3.33%"
"01/01/2012","24,918.30","24,918.30","24,918.30","24,918.30","","4.89%"
"12/01/2011","23,755.96","23,755.96","23,755.96","23,755.96","","-1.17%"
"11/01/2011","24,037.65","24,037.65","24,037.65","24,037.65","","-4.10%"
"10/01/2011","25,064.89","25,064.89","25,064.89","25,064.89","","8.06%"
"09/01/2011","23,196.08","23,196.08","23,196.08","23,196.08","","-4.13%"
"08/01/2011","24,196.09","24,196.09","24,196.09","24,196.09","","-15.55%"
"07/01/2011","28,651.44","28,651.44","28,651.44","28,651.44","","-8.67%"
"06/01/2011","31,372.80","31,372.80","31,372.80","31,372.80","","-3.76%"
"05/01/2011","32,599.33","32,599.33","32,599.33","32,599.33","","-4.01%"
"04/01/2011","33,960.81","33,960.81","33,960.81","33,960.81","","3.47%"
"03/01/2011","32,822.13","32,822.13","32,822.13","32,822.13","","-3.29%"
"02/01/2011","33,938.68","33,938.68","33,938.68","33,938.68","","1.90%"
"01/01/2011","33,306.00","33,306.00","33,306.00","33,306.00","","9.31%"
"12/01/2010","30,470.66","30,470.66","30,470.66","30,470.66","","5.59%"
"11/01/2010","28,858.14","28,858.14","28,858.14","28,858.14","","-10.54%"
"10/01/2010","32,257.87","32,257.87","32,257.87","32,257.87","","4.67%"
"09/01/2010","30,817.51","30,817.51","30,817.51","30,817.51","","4.39%"
"08/01/2010","29,521.59","29,521.59","29,521.59","29,521.59","","-6.11%"
"07/01/2010","31,441.71","31,441.71","31,441.71","31,441.71","","8.85%"
"06/01/2010","28,884.37","28,884.37","28,884.37","28,884.37","","-0.62%"
"05/01/2010","29,064.81","29,064.81","29,064.81","29,064.81","","-7.35%"
"04/01/2010","31,372.02","31,372.02","31,372.02","31,372.02","","-5.51%"
"03/01/2010","33,202.64","33,202.64","33,202.64","33,202.64","","8.45%"
"02/01/2010","30,616.46","30,616.46","30,616.46","30,616.46","","-3.78%"
"01/01/2010","31,817.84","31,817.84","31,817.84","31,817.84","","-5.82%"
"12/01/2009","33,782.60","33,782.60","33,782.60","33,782.60","","6.02%"
"11/01/2009","31,864.15","31,864.15","31,864.15","31,864.15","","-0.24%"
"10/01/2009","31,939.37","31,939.37","31,939.37","31,939.37","","-5.98%"
"09/01/2009","33,972.03","33,972.03","33,972.03","33,972.03","","5.14%"
"08/01/2009","32,311.71","32,311.71","32,311.71","32,311.71","","8.97%"
"07/01/2009","29,652.87","29,652.87","29,652.87","29,652.87","","7.93%"
"06/01/2009","27,473.25","27,473.25","27,473.25","27,473.25","","-3.38%"
"05/01/2009","28,433.69","28,433.69","28,433.69","28,433.69","","6.18%"
"04/01/2009","26,779.13","26,779.13","26,779.13","26,779.13","","21.26%"
"03/01/2009","22,083.57","22,083.57","22,083.57","22,083.57","","3.88%"
"02/01/2009","21,258.80","21,258.80","21,258.80","21,258.80","","-14.76%"
"01/01/2009","24,940.92","24,940.92","24,940.92","24,940.92","","-7.84%"
"12/01/2008","27,061.78","27,061.78","27,061.78","27,061.78","","-2.64%"
"11/01/2008","27,795.22","27,795.22","27,795.22","27,795.22","","-5.86%"
"10/01/2008","29,526.20","29,526.20","29,526.20","29,526.20","","-16.24%"
"09/01/2008","35,252.88","35,252.88","35,252.88","35,252.88","","-10.89%"
"08/01/2008","39,559.86","39,559.86","39,559.86","39,559.86","","1.63%"
